p	sp	200	2080		
a	20	26	549	143	9
a	20	72	151	516	45
a	20	101	181	514	27
a	20	107	536	103	5
a	20	111	504	106	7
a	20	120	111	598	45
a	20	123	578	141	8
a	20	132	532	116	6
a	20	133	553	175	16
a	20	134	166	583	32
a	20	137	115	588	39
a	20	142	144	533	40
a	20	143	173	568	46
a	20	148	127	504	34
a	21	19	537	161	15
a	21	30	519	125	8
a	21	64	560	135	8
a	21	70	157	557	43
a	21	71	136	521	33
a	21	79	529	159	10
a	21	95	178	552	50
a	21	133	588	160	8
a	21	147	570	128	13
a	21	152	521	140	10
a	21	183	555	124	7
a	21	184	156	525	30
a	21	193	133	541	44
a	21	196	565	106	5
a	22	28	176	589	36
a	22	56	545	102	5
a	22	92	174	525	27
a	22	119	178	552	30
a	22	127	584	161	10
a	22	142	538	121	8
a	22	174	182	529	36
a	22	188	514	110	10
a	22	189	123	525	45
a	23	19	505	117	8
a	23	29	565	142	8
a	23	47	569	195	11
a	23	58	530	163	11
a	23	81	177	578	32
a	23	97	577	140	8
a	23	122	130	543	30
a	23	197	574	169	9
a	24	19	160	562	30
a	24	44	140	598	37
a	24	46	554	112	8
a	24	147	504	199	14
a	24	185	583	170	12
a	24	187	185	540	28
a	24	190	155	600	39
a	24	198	159	579	49
a	24	200	145	524	37
a	25	33	576	116	7
a	25	34	583	148	14
a	25	53	139	513	31
a	25	81	545	176	10
a	25	83	101	545	44
a	25	92	561	198	19
a	25	123	542	109	7
a	25	129	578	195	14
a	25	142	184	564	30
a	25	156	539	102	5
a	25	163	563	168	12
a	25	170	585	145	9
a	25	178	583	165	9
a	26	22	548	102	5
a	26	27	105	508	31
a	26	61	122	537	32
a	26	81	539	179	10
a	26	123	572	116	9
a	26	148	179	502	32
a	26	151	153	554	28
a	26	164	523	113	10
a	27	8	568	129	8
a	27	56	183	534	31
a	27	108	121	571	32
a	27	122	506	143	9
a	27	158	576	117	8
a	27	183	147	525	28
a	27	184	184	593	39
a	27	196	144	528	32
a	28	9	167	543	30
a	28	10	133	513	29
a	28	11	537	154	13
a	28	27	129	538	27
a	28	30	147	570	53
a	28	45	572	136	11
a	28	53	508	107	9
a	28	68	146	537	39
a	28	104	192	541	30
a	28	127	162	557	44
a	28	151	513	138	9
a	28	164	582	116	6
a	28	185	104	562	29
a	28	189	570	110	9
a	28	192	544	102	6
a	29	37	187	534	39
a	29	43	157	551	47
a	29	55	171	553	37
a	29	74	516	149	13
a	29	78	152	554	28
a	29	88	129	529	29
a	29	90	151	552	36
a	29	94	188	526	45
a	29	121	508	121	10
a	29	162	161	514	33
a	30	55	569	125	8
a	30	75	131	508	50
a	30	97	193	590	48
a	30	109	150	583	45
a	30	124	559	131	13
a	30	131	564	181	16
a	30	150	124	517	29
a	30	172	121	580	44
a	30	188	557	109	10
a	31	15	554	170	13
a	31	24	115	526	37
a	31	51	116	565	50
a	31	67	519	127	9
a	31	105	193	508	45
a	31	112	514	177	11
a	31	124	588	171	14
a	31	133	576	197	14
a	31	154	112	576	47
a	31	161	151	547	37
a	31	166	137	507	36
a	31	187	576	154	9
a	31	191	536	169	11
a	32	21	574	153	8
a	32	54	546	183	10
a	32	61	576	135	11
a	32	66	559	151	10
a	32	76	581	112	9
a	32	83	148	522	35
a	32	108	505	184	11
a	32	109	182	554	31
a	32	140	113	590	33
a	32	149	577	194	11
a	32	162	517	120	9
a	32	192	183	530	47
a	32	200	532	105	6
a	33	41	133	503	27
a	33	103	546	180	13
a	33	127	540	127	10
a	33	133	161	558	37
a	33	138	571	142	13
a	34	41	550	164	13
a	34	57	142	563	45
a	34	65	536	140	7
a	34	75	579	147	10
a	34	88	179	535	46
a	34	94	133	583	34
a	34	107	171	521	27
a	34	126	559	156	10
a	34	145	190	560	31
a	34	198	500	104	6
a	35	13	153	518	34
a	35	59	582	157	10
a	35	143	191	571	37
a	35	154	114	522	39
a	35	159	157	599	52
a	35	172	536	150	13
a	35	200	138	589	36
a	36	4	528	170	9
a	36	10	113	592	40
a	36	174	104	562	35
a	36	182	541	130	11
a	37	20	508	168	10
a	37	31	558	134	8
a	37	89	544	168	15
a	37	126	588	199	12
a	37	166	168	513	49
a	37	168	122	578	41
a	37	174	126	560	55
a	38	25	182	578	54
a	38	42	544	176	12
a	38	82	579	175	15
a	38	94	193	573	45
a	38	126	542	162	12
a	38	128	588	196	10
a	38	141	534	152	10
a	38	200	188	581	29
a	39	14	147	600	34
a	39	31	109	598	47
a	39	37	529	150	8
a	39	50	130	533	38
a	39	55	523	194	19
a	39	82	197	530	34
a	39	93	590	112	10
a	39	99	180	537	36
a	39	105	184	535	50
a	39	127	184	577	31
a	39	133	154	559	43
a	39	155	541	102	10
a	39	176	173	505	42
a	39	182	162	504	45
a	40	1	545	124	7
a	40	31	197	569	29
a	40	53	576	112	8
a	40	112	174	544	42
a	40	113	574	172	9
a	40	115	573	114	7
a	40	138	170	560	43
a	40	165	512	189	11
a	41	11	529	187	15
a	41	31	198	531	42
a	41	45	535	140	12
a	41	46	581	187	18
a	41	65	123	595	33
a	41	90	182	504	27
a	41	113	585	143	8
a	41	123	136	525	35
a	41	129	564	172	12
a	41	136	170	518	49
a	41	141	161	519	26
a	41	178	130	569	44
a	41	186	105	529	29
a	41	192	100	582	40
a	42	2	164	566	42
a	42	3	583	163	14
a	42	48	581	101	7
a	42	58	514	185	15
a	42	61	192	517	37
a	42	109	595	164	11
a	42	121	501	138	9
a	42	122	169	512	26
a	42	124	160	588	35
a	42	125	523	178	10
a	42	142	505	148	8
a	42	150	161	571	53
a	42	155	552	108	9
a	42	180	184	505	31
a	42	187	195	586	45
a	42	195	539	111	6
a	43	14	575	111	6
a	43	47	508	107	8
a	43	72	557	194	12
a	43	92	573	168	11
a	43	112	161	598	40
a	43	140	136	530	36
a	43	144	176	600	34
a	44	3	571	163	12
a	44	5	507	192	11
a	44	55	584	135	9
a	44	92	153	546	50
a	44	110	172	564	31
a	44	118	543	157	11
a	44	125	544	147	10
a	44	128	503	101	9
a	44	135	104	561	47
a	44	140	177	536	31
a	44	144	596	114	7
a	44	182	545	147	9
a	44	183	141	515	35
a	44	194	193	507	29
a	45	8	521	143	10
a	45	10	193	544	46
a	45	23	549	194	12
a	45	40	113	509	36
a	45	55	106	579	44
a	45	65	100	525	28
a	45	84	157	564	30
a	45	111	191	596	38
a	45	123	121	543	30
a	45	140	534	135	11
a	45	158	138	575	44
a	45	160	193	554	29
a	45	166	503	172	17
a	45	193	546	137	8
a	46	3	552	124	8
a	46	62	506	100	8
a	46	65	132	505	32
a	46	71	531	164	13
a	46	107	535	192	12
a	46	113	537	141	7
a	46	137	568	105	8
a	46	139	158	591	35
a	46	163	510	162	15
a	46	164	588	131	9
a	46	177	555	165	9
a	46	187	158	571	35
a	47	31	196	564	38
a	47	53	570	115	10
a	47	73	510	169	14
a	47	86	155	556	37
a	47	91	182	573	45
a	47	121	503	146	13
a	47	134	574	178	12
a	47	160	595	197	11
a	47	196	531	168	12
a	48	4	197	503	43
a	48	8	133	528	29
a	48	16	553	149	9
a	48	39	543	100	8
a	48	69	577	101	10
a	48	73	586	164	9
a	48	90	102	539	42
a	48	117	571	114	9
a	48	149	140	584	30
a	48	156	142	596	59
a	48	159	125	555	39
a	49	13	563	109	6
a	49	32	174	512	40
a	49	37	104	516	27
a	49	103	180	513	51
a	49	116	131	592	34
a	49	156	584	113	7
a	49	189	164	526	42
a	49	191	571	129	8
a	49	194	130	551	45
a	50	20	522	186	10
a	50	35	165	581	31
a	50	39	507	182	12
a	50	71	590	116	11
a	50	111	557	172	9
a	50	132	168	503	37
a	50	169	536	131	8
a	50	181	531	184	15
a	50	200	158	585	57
a	51	17	161	513	31
a	51	35	502	176	9
a	51	70	595	140	9
a	51	96	136	554	31
a	51	125	571	159	15
a	51	150	120	501	41
a	51	151	549	154	8
a	51	161	512	137	8
a	51	167	564	180	16
a	51	184	595	177	12
a	51	195	500	159	8
a	52	3	564	144	13
a	52	42	530	172	17
a	52	93	108	553	28
a	52	118	544	122	10
a	52	136	562	175	9
a	52	149	593	138	8
a	52	187	587	157	13
a	52	192	118	591	58
a	53	6	101	585	57
a	53	33	519	187	12
a	53	50	549	114	7
a	53	56	169	510	28
a	53	121	161	534	29
a	53	132	158	584	38
a	53	133	182	549	35
a	53	140	135	536	31
a	53	150	195	558	30
a	53	151	121	503	38
a	53	167	185	571	46
a	54	18	105	542	37
a	54	32	581	124	7
a	54	34	143	590	41
a	54	58	530	174	11
a	54	109	512	145	7
a	54	127	120	599	34
a	54	132	527	161	9
a	54	147	131	573	40
a	54	162	102	586	42
a	54	189	558	160	10
a	54	198	196	563	30
a	55	4	585	149	9
a	55	48	122	536	35
a	55	86	158	588	40
a	55	100	168	580	51
a	55	112	590	151	9
a	55	122	531	113	6
a	56	21	504	195	15
a	56	23	547	110	7
a	56	27	165	531	40
a	56	31	197	597	51
a	56	34	513	180	10
a	56	62	551	159	9
a	56	65	199	507	48
a	56	70	172	590	31
a	56	82	196	570	33
a	56	110	556	100	7
a	56	134	165	515	48
a	56	135	574	172	12
a	56	148	553	114	9
a	56	150	190	590	35
a	56	155	535	110	7
a	57	51	508	141	11
a	57	61	565	138	12
a	57	75	535	193	14
a	57	104	105	565	30
a	57	105	168	539	37
a	57	137	200	504	26
a	57	152	528	126	9
a	58	49	154	523	46
a	58	79	549	117	7
a	58	115	189	514	38
a	58	118	529	115	10
a	58	144	510	166	14
a	58	152	116	585	34
a	58	153	505	111	11
a	59	10	530	125	10
a	59	12	567	126	9
a	59	33	507	150	10
a	59	44	508	197	12
a	59	47	171	519	46
a	59	77	572	178	11
a	59	79	500	124	9
a	59	95	549	135	12
a	59	123	580	190	13
a	59	133	505	144	7
a	59	143	542	120	7
a	59	147	158	541	52
a	59	151	178	513	30
a	59	154	595	152	9
a	59	176	563	157	12
a	59	195	548	124	7
a	60	13	519	138	11
a	60	17	193	573	37
a	60	37	119	523	30
a	60	42	161	568	37
a	60	80	515	124	7
a	60	99	139	573	52
a	60	109	174	554	31
a	60	112	587	162	15
a	60	113	512	108	7
a	60	122	543	109	6
a	60	150	528	182	15
a	60	158	510	141	14
a	60	159	516	179	11
a	60	181	193	581	35
a	61	4	584	174	13
a	61	13	112	504	28
a	61	19	568	192	19
a	61	22	112	508	27
a	61	23	186	543	31
a	61	31	532	145	8
a	61	90	130	536	50
a	61	105	514	154	15
a	61	111	114	576	38
a	61	116	146	504	42
a	61	137	188	548	41
a	61	152	144	557	47
a	61	163	102	541	35
a	61	192	128	589	36
a	62	8	587	174	10
a	62	24	568	164	11
a	62	48	127	511	32
a	62	63	199	539	46
a	62	82	553	112	8
a	62	99	535	200	13
a	62	121	544	104	7
a	62	128	501	147	8
a	62	142	528	174	9
a	62	144	171	514	37
a	62	160	519	152	15
a	62	170	542	192	11
a	62	173	130	559	46
a	63	21	504	185	11
a	63	25	599	178	16
a	63	45	562	195	12
a	63	56	179	571	42
a	63	64	534	192	18
a	63	78	564	137	7
a	63	113	168	562	50
a	63	114	164	501	29
a	63	121	111	574	39
a	63	147	183	502	28
a	63	157	139	539	53
a	63	170	115	544	27
a	63	194	106	523	37
a	63	195	506	173	17
a	64	6	139	538	28
a	64	11	136	528	39
a	64	21	121	533	46
a	64	25	191	579	29
a	64	28	144	567	35
a	64	30	141	519	27
a	64	82	521	128	10
a	64	109	521	164	12
a	64	119	581	168	12
a	64	140	123	565	32
a	64	149	513	146	9
a	64	150	122	543	46
a	65	3	506	166	16
a	65	20	552	198	15
a	65	59	152	510	46
a	65	109	200	597	50
a	65	123	149	529	32
a	65	136	539	117	10
a	65	173	535	193	13
a	65	176	180	556	29
a	65	184	511	183	10
a	65	192	567	131	10
a	66	17	504	118	7
a	66	18	146	570	31
a	66	30	539	148	10
a	66	60	174	570	31
a	66	62	113	569	38
a	66	94	527	186	17
a	66	110	172	581	31
a	66	147	511	181	11
a	66	181	566	122	10
a	67	20	513	143	13
a	67	41	165	586	56
a	67	64	172	582	47
a	68	21	103	579	30
a	68	72	185	526	29
a	68	73	515	197	13
a	68	78	505	187	10
a	68	97	164	531	28
a	68	174	159	574	51
a	69	40	515	188	14
a	69	78	579	106	9
a	69	90	177	549	39
a	69	117	526	188	11
a	69	133	515	192	13
a	69	161	149	515	32
a	69	165	179	587	33
a	69	174	528	143	8
a	69	182	144	582	52
a	69	188	196	571	43
a	70	2	553	188	12
a	70	51	523	171	9
a	70	64	520	156	15
a	70	89	525	118	8
a	70	91	177	577	32
a	70	114	520	121	7
a	70	129	548	137	8
a	70	133	532	122	8
a	70	138	129	574	29
a	70	149	516	200	13
a	70	158	158	566	30
a	70	172	164	573	46
a	70	185	109	567	35
a	70	200	112	540	32
a	71	6	193	565	29
a	71	15	570	180	12
a	71	19	580	133	11
a	71	43	509	198	15
a	71	73	137	508	30
a	71	87	595	123	7
a	71	88	512	188	12
a	71	103	126	515	32
a	71	115	127	522	40
a	71	118	142	520	29
a	71	129	579	192	14
a	72	3	529	138	8
a	72	11	575	158	8
a	72	60	192	516	27
a	72	75	118	599	51
a	72	92	555	173	9
a	72	132	109	508	49
a	73	82	566	151	10
a	73	103	124	504	33
a	73	115	524	139	9
a	73	122	507	102	9
a	73	167	136	554	37
a	73	169	576	174	16
a	73	181	544	156	12
a	73	183	559	107	9
a	73	190	159	510	42
a	74	20	187	583	34
a	74	57	515	186	15
a	74	82	146	596	57
a	74	86	526	116	11
a	75	28	133	583	44
a	75	41	151	600	38
a	75	84	119	554	42
a	75	103	513	174	12
a	75	141	578	105	8
a	75	145	169	568	56
a	75	149	509	144	9
a	75	151	166	558	34
a	75	152	565	118	7
a	75	168	525	193	19
a	75	174	556	192	13
a	75	188	580	175	14
a	76	5	137	571	31
a	76	28	563	145	7
a	76	40	106	533	36
a	76	54	126	567	38
a	76	56	175	532	31
a	76	75	178	555	31
a	76	81	581	126	7
a	76	86	500	193	17
a	76	90	549	144	10
a	76	114	145	566	37
a	76	129	115	555	28
a	76	147	178	538	38
a	76	156	140	541	27
a	76	161	169	517	30
a	76	175	521	148	12
a	76	182	519	117	7
a	76	190	190	595	50
a	77	45	196	595	38
a	77	61	124	599	36
a	77	67	193	553	33
a	77	123	140	551	39
a	77	150	126	529	47
a	77	157	519	127	8
a	77	192	534	179	11
a	78	35	577	154	11
a	78	47	527	186	12
a	78	50	583	190	10
a	78	51	153	551	29
a	78	96	162	580	31
a	78	102	571	120	8
a	78	110	185	504	36
a	78	122	542	196	15
a	78	124	132	571	40
a	78	130	504	133	7
a	78	134	186	556	54
a	78	194	523	109	7
a	79	8	563	195	17
a	79	36	179	516	32
a	79	52	502	141	9
a	79	62	104	598	45
a	79	64	181	576	36
a	79	82	196	534	48
a	79	98	555	194	18
a	79	117	102	580	51
a	79	124	113	583	47
a	79	136	115	520	29
a	79	181	521	175	9
a	79	194	543	154	14
a	80	7	112	521	40
a	80	8	512	171	14
a	80	20	177	580	32
a	80	24	588	108	6
a	80	28	539	194	10
a	80	29	133	506	33
a	80	39	143	565	52
a	80	81	574	199	10
a	80	105	505	139	7
a	80	192	587	195	13
a	80	200	501	143	8
a	81	6	107	591	36
a	81	40	135	516	45
a	81	72	188	530	40
a	81	101	559	141	10
a	81	108	122	515	35
a	81	160	100	512	41
a	82	6	551	131	10
a	82	59	166	568	41
a	82	71	551	105	5
a	82	83	524	135	7
a	82	91	509	181	10
a	82	102	171	524	44
a	82	118	200	527	28
a	82	143	126	586	44
a	82	180	197	585	34
a	82	184	517	175	11
a	83	26	166	597	31
a	83	77	142	575	43
a	83	119	111	577	48
a	83	123	516	102	6
a	83	129	110	585	52
a	83	163	518	169	10
a	83	188	129	567	31
a	84	2	537	134	7
a	84	33	114	593	31
a	84	90	198	529	31
a	84	99	158	501	28
a	84	117	142	518	31
a	84	127	510	101	6
a	84	131	519	131	8
a	84	156	576	138	11
a	84	164	596	192	11
a	84	183	563	126	10
a	85	19	135	514	35
a	85	21	574	196	12
a	85	60	555	129	7
a	85	72	502	177	16
a	85	73	563	190	10
a	85	93	115	516	31
a	85	108	125	502	42
a	85	120	135	518	51
a	85	137	120	561	28
a	85	139	554	183	10
a	85	164	148	551	34
a	85	180	172	516	42
a	85	194	547	189	12
a	86	20	144	503	28
a	86	28	575	150	9
a	86	41	592	136	8
a	86	65	184	572	35
a	86	112	163	516	30
a	86	119	519	109	6
a	86	158	180	557	39
a	86	162	159	599	41
a	86	180	517	137	12
a	87	5	178	586	33
a	87	6	501	158	13
a	87	13	146	562	28
a	87	14	162	556	29
a	87	22	129	521	28
a	87	31	595	100	8
a	87	35	500	177	17
a	87	43	582	165	11
a	87	48	508	119	11
a	87	108	582	184	17
a	87	170	100	546	40
a	87	190	157	537	37
a	87	195	500	166	16
a	88	55	532	182	14
a	88	72	587	116	6
a	88	78	575	146	14
a	88	101	175	590	54
a	88	114	105	557	32
a	88	128	113	554	40
a	88	132	526	110	6
a	88	192	147	500	36
a	89	2	536	129	7
a	89	12	108	560	40
a	89	19	541	108	9
a	89	61	189	559	35
a	89	67	594	114	8
a	89	70	510	161	11
a	89	85	533	122	9
a	89	98	546	199	10
a	89	112	547	181	14
a	89	141	133	521	49
a	89	148	509	141	7
a	89	154	129	511	31
a	89	170	101	542	33
a	89	174	558	117	11
a	89	175	191	506	28
a	89	176	583	174	10
a	89	196	121	553	29
a	90	1	510	182	16
a	90	23	120	584	48
a	90	113	568	159	12
a	90	178	588	106	7
a	90	193	500	131	8
a	90	194	136	548	35
a	90	195	553	128	8
a	91	9	180	517	41
a	91	31	183	527	29
a	91	54	121	537	28
a	91	66	152	554	31
a	91	113	519	198	20
a	91	148	529	182	13
a	91	191	193	554	54
a	91	197	573	110	6
a	92	41	120	551	34
a	92	46	537	197	17
a	92	47	109	549	36
a	92	91	551	121	6
a	92	100	118	549	46
a	92	120	142	518	42
a	92	152	500	139	7
a	92	182	515	143	8
a	92	185	103	516	26
a	92	196	567	140	10
a	93	8	165	568	48
a	93	37	598	200	10
a	93	43	504	153	12
a	93	47	511	156	14
a	93	76	595	174	11
a	93	102	115	508	35
a	93	137	588	182	12
a	93	184	516	126	12
a	94	34	562	136	8
a	94	54	562	187	13
a	94	87	577	161	8
a	94	93	595	183	16
a	94	150	551	137	11
a	94	163	152	543	28
a	94	174	180	531	40
a	94	180	166	597	38
a	94	198	159	573	42
a	95	52	162	520	34
a	95	65	186	565	44
a	95	80	100	515	49
a	95	86	545	196	11
a	95	111	160	520	27
a	95	121	597	134	8
a	95	126	522	194	17
a	95	157	138	515	40
a	95	183	581	161	8
a	96	6	548	104	10
a	96	55	575	182	10
a	96	74	511	194	12
a	96	128	114	553	28
a	96	132	509	162	16
a	96	177	531	161	8
a	96	178	164	544	34
a	96	183	596	108	9
a	97	25	573	135	10
a	97	58	588	100	5
a	97	66	563	133	8
a	97	122	595	156	9
a	97	129	538	137	11
a	97	137	106	502	35
a	97	167	129	527	48
a	97	181	518	132	9
a	97	200	159	532	31
a	98	3	592	183	10
a	98	12	153	584	32
a	98	17	506	198	11
a	98	49	538	148	11
a	98	144	577	153	9
a	98	198	175	563	34
a	99	17	549	122	6
a	99	33	578	136	13
a	99	34	589	197	17
a	99	45	574	135	7
a	99	54	570	164	14
a	99	70	194	589	46
a	99	73	190	550	52
a	99	81	119	585	40
a	99	92	133	524	34
a	99	116	112	548	28
a	99	135	521	176	14
a	99	140	552	150	9
a	99	142	198	514	27
a	99	183	530	123	10
a	100	4	143	597	32
a	100	26	557	176	11
a	100	56	148	571	29
a	100	74	596	161	11
a	100	95	556	105	6
a	100	120	555	160	14
a	100	128	597	138	12
a	101	3	189	500	43
a	101	25	541	186	13
a	101	34	576	183	14
a	101	40	196	508	48
a	101	69	100	520	31
a	101	89	185	598	48
a	101	103	566	148	12
a	101	117	584	116	11
a	101	127	524	185	14
a	101	130	161	512	27
a	101	136	158	590	41
a	101	142	540	159	11
a	101	155	518	160	11
a	101	174	113	517	35
a	101	185	513	197	11
a	102	18	191	570	43
a	102	20	193	537	43
a	102	53	577	177	15
a	102	56	125	536	29
a	102	71	599	105	6
a	102	110	195	556	41
a	102	127	167	537	37
a	102	132	594	148	10
a	102	135	533	121	12
a	102	181	157	572	31
a	102	187	576	183	10
a	103	6	149	540	34
a	103	9	573	149	13
a	103	38	184	544	36
a	103	79	125	578	51
a	103	83	534	191	11
a	103	86	194	520	33
a	103	101	520	156	10
a	103	102	556	116	9
a	103	139	167	521	31
a	103	143	180	549	37
a	103	144	526	166	12
a	103	180	528	169	9
a	104	12	585	119	10
a	104	83	551	180	13
a	104	124	120	578	44
a	104	148	196	503	30
a	104	152	150	525	43
a	104	192	132	525	30
a	104	194	500	176	9
a	104	198	561	172	10
a	105	57	581	185	11
a	105	69	597	161	8
a	105	70	510	194	12
a	105	80	154	523	29
a	105	119	110	580	42
a	105	137	563	196	13
a	105	156	577	172	10
a	105	159	551	170	13
a	105	164	163	505	40
a	105	178	557	132	10
a	105	184	159	501	31
a	105	187	553	195	12
a	105	189	512	162	9
a	106	4	190	555	40
a	106	19	107	561	33
a	106	54	111	568	42
a	106	61	514	174	11
a	106	67	149	512	40
a	106	104	551	124	8
a	106	124	175	519	28
a	106	146	173	527	27
a	106	147	104	520	29
a	106	176	599	173	11
a	106	197	146	535	42
a	106	200	578	112	7
a	107	4	510	138	11
a	107	9	134	510	40
a	107	27	535	198	12
a	107	30	546	158	12
a	107	62	181	527	39
a	107	75	581	171	13
a	107	81	119	550	36
a	107	119	163	504	37
a	107	126	529	182	14
a	107	160	529	165	9
a	107	191	553	193	11
a	108	4	584	195	11
a	108	22	514	132	11
a	108	37	115	546	34
a	108	41	597	146	10
a	108	82	112	527	47
a	108	83	139	599	46
a	108	84	177	586	40
a	108	106	552	157	9
a	108	107	576	101	5
a	108	126	500	197	14
a	108	131	171	523	29
a	108	139	506	129	10
a	108	157	140	505	26
a	108	164	525	193	10
a	108	166	600	155	10
a	108	184	557	122	11
a	109	17	586	170	15
a	109	27	115	574	32
a	109	32	594	197	11
a	109	40	549	130	12
a	109	47	551	156	9
a	109	101	137	560	46
a	109	121	579	139	7
a	109	163	569	155	15
a	109	192	104	561	34
a	109	194	113	580	47
a	109	199	141	593	42
a	110	37	135	513	34
a	110	43	162	549	40
a	110	63	538	151	8
a	110	77	599	200	14
a	110	95	569	143	10
a	110	139	125	512	39
a	110	168	107	587	48
a	110	198	578	157	16
a	111	5	131	577	47
a	111	39	100	590	42
a	111	41	517	193	12
a	111	53	104	557	30
a	111	56	168	505	29
a	111	84	511	186	10
a	111	127	513	168	12
a	111	128	514	174	10
a	111	148	595	115	6
a	111	160	583	177	11
a	112	2	108	585	46
a	112	26	129	592	36
a	112	30	537	179	14
a	112	40	566	153	8
a	112	45	134	573	35
a	112	61	525	191	18
a	112	71	587	165	16
a	112	81	588	116	11
a	112	90	196	529	51
a	112	102	575	184	9
a	112	117	129	519	27
a	112	137	534	108	8
a	112	184	584	104	6
a	112	194	552	135	8
a	112	196	538	103	9
a	112	200	527	199	15
a	113	12	141	509	32
a	113	23	115	532	27
a	113	87	580	146	9
a	113	99	547	117	6
a	113	116	195	547	53
a	113	161	108	583	38
a	113	179	509	192	11
a	114	32	576	139	7
a	114	36	107	571	37
a	114	39	148	548	52
a	114	68	193	512	41
a	114	75	186	509	50
a	114	79	552	163	9
a	114	97	531	183	13
a	114	104	500	126	10
a	114	112	160	518	45
a	114	136	139	591	31
a	114	162	114	584	47
a	115	8	169	540	35
a	115	26	517	159	12
