p	sp	100	990		
a	41	82	561	123	11
a	41	99	530	109	7
a	42	13	162	504	26
a	42	14	551	100	6
a	42	15	547	163	10
a	42	31	112	544	33
a	42	35	598	190	16
a	42	38	540	107	7
a	42	50	130	523	52
a	42	51	115	549	51
a	42	52	151	567	55
a	42	60	580	180	11
a	42	66	586	196	10
a	42	68	175	513	43
a	42	77	105	584	42
a	42	82	516	190	10
a	42	83	139	586	52
a	42	84	191	575	54
a	42	91	551	191	11
a	42	94	183	589	49
a	42	100	194	533	31
a	43	8	180	563	44
a	43	29	503	119	10
a	43	77	162	524	50
a	43	78	541	170	10
a	43	79	503	181	13
a	44	3	147	573	32
a	44	7	543	178	9
a	44	18	164	573	37
a	44	24	554	156	15
a	44	25	135	519	32
a	44	40	577	148	10
a	44	53	579	160	14
a	44	98	579	111	9
a	45	10	155	523	32
a	45	15	500	193	10
a	45	23	194	541	48
a	45	37	121	522	28
a	45	64	152	522	38
a	45	75	562	162	11
a	45	90	140	563	37
a	45	99	501	114	7
a	46	12	134	559	36
a	46	25	107	501	47
a	46	44	124	547	30
a	46	50	560	159	13
a	46	74	541	164	12
a	46	75	147	579	38
a	46	82	585	125	9
a	46	96	567	143	9
a	47	20	122	555	33
a	47	24	558	166	11
a	47	28	523	120	9
a	47	32	501	171	13
a	47	43	594	123	10
a	47	58	171	545	38
a	47	81	530	196	15
a	47	93	533	109	7
a	48	3	187	529	51
a	48	38	132	524	27
a	48	40	551	102	9
a	48	55	112	548	52
a	48	61	172	522	45
a	48	67	140	517	29
a	48	92	154	540	44
a	49	2	198	570	49
a	49	13	140	514	42
a	49	20	510	163	15
a	49	28	162	517	29
a	49	40	521	167	10
a	49	50	165	593	42
a	49	64	543	162	12
a	49	73	153	545	43
a	49	79	576	137	7
a	49	100	193	543	34
a	50	6	159	544	32
a	50	10	162	590	45
a	50	13	570	158	10
a	50	14	193	541	38
a	50	17	129	542	34
a	50	56	524	138	11
a	50	80	114	575	31
a	51	10	126	512	31
a	51	13	127	523	42
a	51	18	532	180	13
a	51	20	114	589	40
a	51	28	549	116	12
a	51	29	573	143	10
a	51	35	538	101	7
a	51	45	503	169	9
a	51	47	196	534	35
a	51	61	561	132	8
a	51	98	193	539	33
a	52	2	530	104	6
a	52	3	169	510	45
a	52	9	136	540	49
a	52	26	581	188	13
a	52	53	195	514	31
a	52	65	539	168	11
a	52	74	537	195	14
a	52	91	159	524	40
a	52	94	164	574	33
a	53	22	113	567	42
a	53	23	144	504	45
a	53	34	124	555	29
a	53	35	104	545	27
a	53	40	200	516	29
a	53	80	106	547	32
a	53	95	177	588	40
a	54	19	117	592	42
a	54	30	581	193	10
a	54	41	166	526	29
a	54	63	115	592	56
a	54	71	187	519	47
a	54	76	134	576	33
a	55	3	518	133	9
a	55	22	572	164	14
a	55	48	504	157	9
a	55	53	112	578	37
a	55	54	548	194	18
a	55	73	111	570	30
a	55	96	588	102	7
a	55	97	526	131	12
a	56	20	162	590	31
a	56	21	543	146	14
a	56	22	178	564	29
a	56	23	151	597	38
a	56	36	501	105	6
a	56	51	159	536	46
a	56	64	168	592	32
a	56	76	548	101	8
a	56	81	172	506	27
a	56	93	122	573	44
a	57	34	187	534	46
a	57	35	197	593	52
a	57	44	519	172	9
a	57	69	188	597	43
a	57	72	536	182	11
a	57	75	144	501	38
a	57	85	168	550	48
a	58	3	103	594	33
a	58	5	122	578	43
a	58	17	584	161	9
a	58	19	198	570	50
a	58	38	107	561	42
a	58	43	164	534	28
a	58	52	102	533	40
a	58	53	595	107	6
a	58	64	192	579	34
a	58	84	505	182	13
a	58	87	526	136	13
a	59	4	579	196	15
a	59	6	112	502	41
a	59	8	583	163	9
a	59	13	501	156	12
a	59	14	534	127	7
a	59	84	565	113	6
a	59	87	599	124	8
a	59	91	170	562	40
a	59	92	541	126	8
a	59	100	159	542	32
a	60	4	102	580	38
a	60	8	532	184	13
a	60	16	531	121	8
a	60	34	120	591	39
a	60	41	556	164	14
a	60	68	533	120	12
a	60	70	136	533	30
a	61	6	530	124	8
a	61	7	112	570	36
a	61	10	532	155	8
a	61	12	585	155	8
a	61	15	581	185	11
a	61	24	587	176	11
a	61	55	567	186	15
a	61	71	199	597	31
a	61	73	535	131	8
a	61	83	153	562	29
a	61	94	514	115	9
a	61	95	556	112	7
a	62	3	199	514	43
a	62	8	121	511	34
a	62	15	559	199	10
a	62	19	503	127	7
a	62	34	170	585	35
a	62	51	180	591	52
a	62	55	128	550	50
a	62	71	168	535	34
a	62	80	171	590	36
a	63	2	113	528	31
a	63	5	129	513	27
a	63	39	538	185	13
a	63	44	130	512	34
a	63	62	172	535	33
a	63	80	128	563	48
a	63	96	537	181	11
a	63	97	115	503	29
a	64	16	555	146	13
a	64	28	588	151	9
a	64	36	585	112	7
a	64	39	107	569	36
a	64	57	198	506	30
a	64	63	520	115	8
a	64	72	514	171	9
a	64	79	191	548	29
a	65	3	148	592	47
a	65	24	509	120	6
a	65	25	144	506	33
a	65	32	593	190	13
a	65	45	572	132	12
a	65	57	145	537	41
a	65	61	182	600	31
a	65	91	152	550	30
a	66	9	110	526	39
a	66	12	520	155	8
a	66	18	591	196	16
a	66	19	168	522	32
a	66	21	139	599	48
a	66	24	112	565	34
a	66	49	583	118	8
a	66	55	131	500	28
a	66	65	144	573	34
a	66	71	526	106	9
a	66	79	590	158	11
a	66	84	530	171	9
a	66	95	141	598	38
a	67	14	100	557	53
a	67	45	520	177	14
a	67	46	186	571	52
a	67	47	586	136	7
a	67	54	108	555	45
a	67	64	113	578	30
a	67	71	173	571	39
a	67	75	567	181	9
a	67	94	120	545	36
a	67	99	564	103	10
a	68	6	593	116	6
a	68	8	155	522	49
a	68	11	503	103	7
a	68	32	124	519	27
a	68	33	196	596	44
a	68	39	589	106	7
a	68	42	563	159	10
a	68	45	518	193	10
a	68	58	540	131	7
a	68	69	120	544	52
a	68	92	504	115	6
a	69	3	595	112	9
a	69	13	157	539	35
a	69	35	552	187	11
a	69	36	580	165	15
a	69	43	158	531	38
a	69	46	508	153	10
a	69	47	540	147	14
a	69	60	573	180	11
a	69	61	106	502	32
a	69	88	594	151	14
a	70	5	515	195	10
a	70	11	164	572	41
a	70	13	570	188	19
a	70	15	125	507	27
a	70	18	561	183	16
a	70	20	157	546	37
a	70	24	104	582	39
a	70	25	132	503	26
a	70	36	505	172	11
a	70	39	549	181	13
a	70	50	538	156	11
a	70	52	163	595	58
a	70	60	185	590	49
a	70	73	589	196	16
a	70	83	139	589	56
a	70	92	511	172	14
a	70	93	536	185	11
a	71	2	122	591	33
a	71	11	140	597	43
a	71	24	508	137	11
a	71	27	572	146	8
a	71	46	118	551	32
a	71	52	187	500	27
a	71	62	558	135	10
a	71	63	145	556	29
a	71	68	522	185	12
a	71	81	507	191	18
a	71	82	573	141	8
a	71	95	170	521	41
a	71	99	176	504	26
a	72	16	158	593	45
a	72	21	132	576	37
a	72	66	125	534	29
a	72	86	123	512	44
a	72	100	597	135	8
a	73	4	545	178	11
a	73	10	513	119	7
a	73	18	512	137	13
a	73	22	175	596	46
a	73	23	582	147	14
a	73	70	595	125	7
a	73	71	107	553	42
a	73	96	582	198	12
a	74	2	577	196	15
a	74	7	133	529	30
a	74	8	548	109	8
a	74	10	145	557	32
a	74	24	579	177	9
a	74	29	112	547	34
a	74	37	520	172	10
a	74	46	523	200	12
a	74	49	521	172	12
a	74	55	585	154	13
a	74	81	195	517	46
a	74	93	543	104	6
a	74	99	519	197	14
a	75	6	566	123	6
a	75	16	509	151	13
a	75	45	527	157	9
a	75	51	177	522	34
a	75	52	529	156	11
a	75	53	186	549	31
a	75	71	171	500	34
a	75	74	193	557	39
a	76	1	500	115	7
a	76	4	137	599	31
a	76	6	130	594	34
a	76	12	170	508	38
a	76	23	152	546	45
a	76	30	520	158	14
a	76	56	110	554	37
a	76	61	153	547	48
a	76	74	154	523	45
a	76	77	192	546	53
a	76	89	115	509	50
a	77	16	103	581	34
a	77	25	543	110	8
a	77	34	534	184	10
a	77	60	147	573	36
a	77	63	142	526	31
a	77	66	162	575	36
a	77	71	140	542	39
a	77	76	539	122	7
a	77	79	519	114	10
a	78	11	540	102	6
a	78	17	187	525	33
a	78	27	545	153	10
a	78	28	108	593	41
a	78	32	167	561	35
a	78	34	175	549	40
a	78	35	507	117	8
a	78	40	169	502	38
a	78	42	547	164	8
a	78	58	164	556	45
a	78	68	527	143	10
a	78	94	534	129	8
a	79	8	571	106	7
a	79	11	567	186	10
a	79	14	597	123	10
a	79	27	571	135	10
a	79	32	555	136	10
a	79	36	146	546	35
a	79	40	521	188	17
a	79	44	128	598	43
a	79	69	129	517	34
a	79	71	126	554	33
a	79	72	587	155	9
a	79	80	148	580	39
a	79	81	132	530	42
a	79	90	182	501	43
a	79	94	100	566	34
a	80	11	500	165	9
a	80	12	506	163	14
a	80	28	165	527	36
a	80	29	127	584	54
a	80	34	556	102	6
a	80	40	506	166	13
a	80	41	101	533	30
a	80	44	587	164	8
a	80	47	532	185	11
a	80	50	105	544	48
a	80	78	510	175	16
a	81	10	574	119	7
a	81	17	599	188	16
a	81	29	115	555	32
a	81	39	107	574	38
a	81	42	173	593	39
a	81	43	548	168	9
a	81	45	532	191	11
a	81	47	142	512	26
a	81	52	516	137	7
a	81	61	534	144	10
a	81	62	519	186	13
a	81	74	170	501	42
a	81	75	537	150	9
a	81	85	538	124	9
a	81	86	579	145	10
a	81	92	183	511	36
a	81	94	185	567	30
a	82	20	526	151	11
a	82	22	600	120	6
a	82	94	579	177	13
a	83	4	554	155	12
a	83	18	582	179	17
a	83	32	538	169	10
a	83	33	597	154	9
a	83	40	106	580	50
a	83	44	586	145	7
a	83	46	552	180	9
a	83	53	169	546	47
a	83	71	558	145	10
a	83	82	561	168	9
a	83	90	192	542	30
a	83	99	110	533	52
a	84	4	585	117	8
a	84	8	530	164	14
a	84	10	143	573	42
a	84	13	584	152	9
a	84	16	554	105	10
a	84	17	546	108	9
a	84	20	110	551	32
a	84	47	115	560	37
a	84	79	123	539	28
a	84	86	113	551	39
a	84	88	162	596	42
a	84	90	177	532	46
a	84	92	169	536	40
a	85	14	582	157	8
a	85	31	576	125	7
a	85	36	200	576	34
a	85	78	164	517	29
a	85	98	182	549	49
a	86	12	102	558	32
a	86	30	503	102	7
a	86	39	125	525	48
a	86	50	164	518	35
a	86	54	117	509	26
a	86	65	538	134	7
a	86	66	162	554	37
a	86	92	537	176	12
a	86	95	129	584	55
a	87	5	599	161	12
a	87	6	559	110	7
a	87	8	548	140	12
a	87	18	185	576	57
a	87	21	111	572	52
a	87	39	133	584	37
a	87	55	502	126	11
a	87	66	596	140	9
a	87	77	166	508	26
a	87	92	187	591	30
a	88	2	525	197	12
a	88	24	183	508	26
a	88	27	595	151	11
a	88	47	578	161	13
a	88	53	595	157	8
a	88	61	179	520	32
a	88	63	154	500	36
a	88	69	151	533	29
a	88	76	114	521	45
a	88	80	145	560	37
a	88	83	165	535	31
a	88	95	569	176	14
a	88	96	100	558	45
a	89	3	572	170	16
a	89	4	168	585	42
a	89	6	584	114	8
a	89	10	178	580	53
a	89	18	189	582	30
a	89	28	178	515	36
a	89	36	591	147	12
a	89	52	546	143	11
a	89	68	172	580	37
a	89	87	586	125	12
a	90	4	552	191	12
a	90	8	504	143	8
a	90	15	197	529	47
a	90	37	528	162	9
a	90	49	552	183	18
a	90	54	582	150	9
a	90	75	183	533	35
a	91	6	197	540	54
a	91	7	197	572	52
a	91	8	124	591	46
a	91	12	548	101	6
a	91	27	582	180	12
a	91	39	538	155	9
a	91	58	122	513	42
a	91	59	133	503	48
a	91	63	182	536	50
a	91	72	574	199	15
a	91	83	105	557	44
a	91	87	551	174	11
a	91	94	189	509	34
a	92	5	167	580	44
a	92	11	106	583	31
a	92	41	550	163	12
a	92	42	180	517	27
a	92	50	578	177	14
a	92	55	151	530	34
a	92	63	559	111	8
a	92	86	562	148	8
a	92	90	134	536	43
a	92	96	106	530	29
a	92	97	169	587	57
a	93	8	178	512	50
a	93	63	508	124	12
a	93	70	555	179	13
a	93	71	544	159	16
a	93	82	184	526	28
a	93	95	187	577	32
a	94	7	140	534	46
a	94	8	193	599	50
a	94	9	185	526	50
a	94	11	147	561	30
a	94	14	137	599	32
a	94	26	570	141	9
a	94	27	532	174	13
a	94	32	187	570	29
a	94	54	532	183	9
a	94	60	174	516	42
a	94	65	138	597	34
a	94	66	550	102	6
a	94	83	576	146	9
a	94	100	513	182	18
a	95	4	591	175	16
a	95	6	134	519	32
a	95	22	583	171	16
a	95	25	504	165	9
a	95	41	137	520	29
a	95	63	193	506	30
a	95	67	127	572	30
a	95	88	592	122	8
a	96	2	538	129	12
a	96	5	567	130	9
a	96	12	594	134	8
a	96	15	503	183	14
a	96	37	127	526	35
a	96	46	181	504	45
a	96	52	146	591	34
a	96	67	133	526	36
a	96	72	184	548	45
a	96	73	160	599	58
a	96	82	563	148	11
a	97	4	194	505	37
a	97	20	585	184	17
a	97	21	172	548	30
a	97	26	591	113	11
a	97	45	197	554	41
a	97	49	195	592	30
a	97	60	597	115	6
a	97	61	149	539	36
a	97	62	143	587	39
a	97	66	138	537	28
a	97	69	588	160	11
a	97	80	500	170	10
a	97	90	112	515	47
a	97	96	589	180	9
a	97	99	534	190	11
a	98	19	148	579	46
a	98	28	109	586	51
a	98	37	585	117	7
a	98	44	158	577	47
a	98	61	188	577	43
a	98	69	586	178	12
a	98	70	536	141	11
a	98	91	501	160	9
a	98	97	567	115	10
a	99	18	194	526	39
a	99	35	141	508	45
a	99	45	137	588	43
a	99	46	178	586	35
a	99	52	504	128	10
a	99	57	501	167	12
a	99	66	108	520	38
a	99	72	533	150	15
a	99	82	524	103	9
a	99	93	177	583	31
a	99	94	120	532	31
a	100	3	551	127	7
a	100	6	165	564	53
a	100	10	117	579	40
a	100	24	141	579	51
a	100	27	596	102	8
a	100	34	566	186	10
a	100	35	101	501	44
a	100	40	568	129	8
a	100	46	509	105	10
a	100	49	146	568	36
a	100	66	128	563	33
a	100	78	516	110	6
a	100	84	561	150	10
a	100	88	580	188	19
a	100	89	584	124	12
a	100	94	524	135	13
a	100	99	195	537	51
